open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17 06:00:00+00:00,2306.29,2324.54,2297.21,2314.25,193162.132,2026-03-17 06:59:59.999000+00:00,446713941.23754,,,,0
2026-03-17 07:00:00+00:00,2314.26,2337.5,2314.21,2326.75,181336.733,2026-03-17 07:59:59.999000+00:00,422353758.9931,,,,0
2026-03-17 08:00:00+00:00,2326.74,2334.73,2314.1,2319.52,171350.764,2026-03-17 08:59:59.999000+00:00,398216939.01542,,,,0
2026-03-17 09:00:00+00:00,2319.52,2328.87,2305.0,2314.67,261142.338,2026-03-17 09:59:59.999000+00:00,604855320.62929,,,,0
2026-03-17 10:00:00+00:00,2314.67,2315.99,2301.04,2311.87,166088.999,2026-03-17 10:59:59.999000+00:00,383696607.07313,,,,0
2026-03-17 11:00:00+00:00,2311.87,2332.22,2310.56,2325.75,187098.981,2026-03-17 11:59:59.999000+00:00,435061767.75555,,,,0
2026-03-17 12:00:00+00:00,2325.75,2334.43,2311.72,2314.63,185179.697,2026-03-17 12:59:59.999000+00:00,429925859.90065,,,,0
2026-03-17 13:00:00+00:00,2314.62,2345.19,2312.31,2327.6,368883.221,2026-03-17 13:59:59.999000+00:00,859029254.26813,,,,0
2026-03-17 14:00:00+00:00,2327.6,2347.82,2316.88,2342.33,271713.186,2026-03-17 14:59:59.999000+00:00,634687986.56247,,,,0
2026-03-17 15:00:00+00:00,2342.34,2356.66,2303.0,2314.69,458417.061,2026-03-17 15:59:59.999000+00:00,1066083376.26562,,,,0
2026-03-17 16:00:00+00:00,2314.68,2335.81,2311.07,2325.72,204472.356,2026-03-17 16:59:59.999000+00:00,475380974.02544,,,,0
2026-03-17 17:00:00+00:00,2325.71,2341.83,2319.07,2338.93,143196.383,2026-03-17 17:59:59.999000+00:00,333959212.39271,,,,0
2026-03-17 18:00:00+00:00,2338.93,2341.66,2327.01,2331.96,109652.947,2026-03-17 18:59:59.999000+00:00,256130407.60984,,,,0
2026-03-17 19:00:00+00:00,2331.96,2338.99,2315.61,2319.1,122695.101,2026-03-17 19:59:59.999000+00:00,285508929.7439,,,,0
2026-03-17 20:00:00+00:00,2319.09,2329.15,2316.26,2326.66,84197.153,2026-03-17 20:59:59.999000+00:00,195578187.32635,,,,0
